URL|TITLE|CURRENCY|AMOUNT ASKED|AMOUNT RECEIVED|BACKERS|AVG AMOUNT|DAYS LEFT|LOCATION|CATEGORY|NUMBER OF WORDS|NUMBER OF PICS|NUMBER OF VIDEOS|NUMBER OF COMMENTS|NUMBER OF UPDATES|NUMBER OF REWARDS|AMOUNT OF REWARDS|NUMBER OF WORDS OF REWARDS
https://fondeadora.mx/projects/llevate-mis-amores|Llévate Mis Amores|MXN|100000|114263|128|892|0|México, D.F.|Film and Video|1|0|1|5|1|7|100.0 MXN, 300.0 MXN, 500.0 MXN, 1000.0 MXN, 2500.0 MXN, 5000.0 MXN, 10000.0 MXN|16, 31, 42, 97, 117, 126, 133
https://fondeadora.mx/projects/quien-te-entiende|¿Quién te entiende?|MXN|70000|104629|52|2012|0|México, D.F.|Film and Video|563|0|1|6|0|5|20.0 MXN, 300.0 MXN, 500.0 MXN, 800.0 MXN, 1000.0 MXN|31, 31, 51, 42, 65
https://fondeadora.mx/projects/se-busca-papa|Se Busca Papá|MXN|100000|102000|26|3923|0|México, D.F.|Film and Video|286|0|1|0|0|6|100.0 MXN, 150.0 MXN, 500.0 MXN, 1000.0 MXN, 1500.0 MXN, 2000.0 MXN|26, 33, 44, 42, 60, 84
https://fondeadora.mx/projects/aunque-la-muerte-nos-separe|Aunque la muerte nos separe|MXN|85000|95000|65|1461|0|Cholula, Pue.|Film and Video|455|0|1|2|0|5|200.0 MXN, 500.0 MXN, 700.0 MXN, 1000.0 MXN, 2000.0 MXN|31, 71, 34, 81, 69
https://fondeadora.mx/projects/la-hora-de-la-siesta-the-naptime|La Hora de la Siesta (The Naptime)|MXN|90000|93160|100|931|0|Hermosillo, Son.|Film and Video|952|0|1|0|0|0||
https://fondeadora.mx/projects/macabro-festival-internacional-de-cine-de-horror-de-la-ciudad-de-mexico-2013-doceava-edicion|Macabro: Festival Internacional de Cine de Horror de la Ciudad de México 2013 – Doceava Edición|MXN|90000|90991|42|2166|0|México, D.F.|Film and Video|340|0|1|1|0|5|150.0 MXN, 300.0 MXN, 500.0 MXN, 750.0 MXN, 1500.0 MXN|25, 34, 42, 61, 83
https://fondeadora.mx/projects/amor-desde-el-infierno|Amor desde el infierno|MXN|70000|87238|27|3231|0|México, D.F.|Music|475|0|1|7|0|11|100.0 MXN, 500.0 MXN, 1000.0 MXN, 1500.0 MXN, 2000.0 MXN, 2500.0 MXN, 3000.0 MXN, 3500.0 MXN, 4000.0 MXN, 4500.0 MXN, 5000.0 MXN|29, 27, 27, 40, 66, 49, 50, 79, 44, 31, 69
https://fondeadora.mx/projects/zoot-sape|ZOOT & SAPE|MXN|85000|86441|30|2881|0|México, D.F.|Fashion|1|0|1|0|0|6|200.0 MXN, 500.0 MXN, 1000.0 MXN, 2000.0 MXN, 3500.0 MXN, 5000.0 MXN|17, 25, 11, 12, 20, 33
https://fondeadora.mx/projects/technicolor-fabrics-presenta-cadamesymedio|Technicolor Fabrics presenta: #CadaMesYMedio|MXN|85000|85759|219|391|0|Guadalajara, Jal.|Music|497|0|1|26|0|11|55.0 MXN, 150.0 MXN, 250.0 MXN, 380.0 MXN, 380.0 MXN, 390.0 MXN, 450.0 MXN, 590.0 MXN, 750.0 MXN, 1450.0 MXN, 2199.0 MXN|22, 21, 39, 41, 41, 29, 42, 40, 57, 32, 37
https://fondeadora.mx/projects/sara-valenzuela|Rumbo al Tercero: Nuevo Disco de Sara Valenzuela|MXN|75000|85835|106|809|0|Guadalajara,Jal.|Music|1398|9|1|2|17|7|50.0 MXN, 100.0 MXN, 150.0 MXN, 500.0 MXN, 1000.0 MXN, 3000.0 MXN, 5000.0 MXN|24, 31, 23, 36, 70, 69, 99
https://fondeadora.mx/projects/principio-de-los-tiempos|El Principio de los Tiempos|MXN|150000|161638|56|2886|0|México, D.F.|Film and Video|1|0|1|4|3|6|200.0 MXN, 500.0 MXN, 1000.0 MXN, 2000.0 MXN, 5000.0 MXN, 10000.0 MXN|59, 56, 125, 51, 107, 53
https://fondeadora.mx/projects/no-sombrero|No Sombrero|MXN|80000|80000|21|3809|0|México, D.F.|Design|1|0|1|0|0|3|300.0 MXN, 500.0 MXN, 1000.0 MXN|25, 26, 31
https://fondeadora.mx/projects/batallas-latentes--2|Batallas Latentes|MXN|150000|152930|70|2184|0|Ciudad De México|Film and Video|508|0|1|0|1|14|250.0 MXN, 250.0 MXN, 500.0 MXN, 1000.0 MXN, 2000.0 MXN, 2500.0 MXN, 3000.0 MXN, 4000.0 MXN, 5000.0 MXN, 6000.0 MXN, 6000.0 MXN, 10000.0 MXN, 25000.0 MXN, 40000.0 MXN|33, 33, 22, 36, 49, 109, 62, 34, 93, 74, 75, 53, 75, 73
https://fondeadora.mx/projects/savia|SAVIA|MXN|70000|70000|56|1250|0|México, D.F.|Theater|962|0|1|2|0|6|150.0 MXN, 250.0 MXN, 500.0 MXN, 750.0 MXN, 1500.0 MXN, 3000.0 MXN|35, 66, 54, 67, 42, 63
https://fondeadora.mx/projects/autopsy|Serie fotográfica: “Autopsy”|MXN|67000|69400|81|856|0||Photography|338|0|1|0|0|7|150.0 MXN, 300.0 MXN, 500.0 MXN, 1000.0 MXN, 2000.0 MXN, 3000.0 MXN, 8000.0 MXN|29, 28, 34, 37, 36, 28, 36
https://fondeadora.mx/projects/avioncitos|Avioncitos|MXN|65000|69100|55|1256|0|México, D.F.|Film and Video|230|1|1|0|1|7|50.0 MXN, 100.0 MXN, 200.0 MXN, 300.0 MXN, 500.0 MXN, 1000.0 MXN, 5000.0 MXN|6, 10, 17, 24, 26, 39, 49
https://fondeadora.mx/projects/cuando-seas-grande|Cuando Seas Grande|MXN|40000|62195|89|698|0|México, D.F.|Film and Video|623|0|1|0|0|5|60.0 MXN, 200.0 MXN, 500.0 MXN, 1000.0 MXN, 5000.0 MXN|16, 30, 55, 57, 49
https://fondeadora.mx/projects/amaranto|Amaranto|MXN|60000|62147|67|927|0|México, D.F.|Music|385|0|1|3|1|8|150.0 MXN, 300.0 MXN, 600.0 MXN, 800.0 MXN, 1500.0 MXN, 2000.0 MXN, 3000.0 MXN, 10000.0 MXN|14, 13, 15, 26, 27, 32, 23, 22
https://fondeadora.mx/projects/clubfotomex|ClubFotoMex 64+|MXN|111000|121850|40|3046|0|México, D.F.|Photography|524|0|1|0|0|8|100.0 MXN, 300.0 MXN, 500.0 MXN, 1000.0 MXN, 2000.0 MXN, 3000.0 MXN, 5000.0 MXN, 10000.0 MXN|71, 72, 42, 77, 51, 38, 71, 56
https://fondeadora.mx/projects/la-tortuga-primordial|La Tortuga Primordial|MXN|60000|60600|35|1731|0|México, D.F.|Film and Video|290|0|1|0|0|6|100.0 MXN, 300.0 MXN, 650.0 MXN, 1000.0 MXN, 1500.0 MXN, 2000.0 MXN|15, 24, 39, 42, 50, 65
https://fondeadora.mx/projects/the-smosh|The Smösh – 7 Días de Oscuridad|MXN|60000|60100|16|3756|0|Tampico, Tam.|Music|355|0|1|0|4|11|100.0 MXN, 200.0 MXN, 300.0 MXN, 500.0 MXN, 800.0 MXN, 1200.0 MXN, 1800.0 MXN, 2500.0 MXN, 5000.0 MXN, 10000.0 MXN, 15000.0 MXN|10, 17, 24, 23, 53, 59, 71, 77, 110, 114, 176
https://fondeadora.mx/projects/desde-que-dios-amanece|Desde que Dios Amanece|MXN|60000|60000|17|3529|0|Durango, Dgo.|Film and Video|433|0|1|0|0|6|100.0 MXN, 300.0 MXN, 500.0 MXN, 1000.0 MXN, 5000.0 MXN, 10000.0 MXN|31, 29, 53, 49, 75, 121
https://fondeadora.mx/projects/la-casa-del-mostro|La Casa del Mostro|MXN|55000|56354|27|2087|0|Guadalajara, Jal.|Animation|325|0|1|1|0|6|100.0 MXN, 300.0 MXN, 500.0 MXN, 1000.0 MXN, 2500.0 MXN, 8000.0 MXN|28, 38, 57, 99, 52, 47
